month,day,hh,load,Temp
1,1,0,4.0625,0
1,1,1,4.4375,0
1,1,2,3.875,0
1,1,3,5.625,0
1,1,4,3.5,0
1,1,5,3.0625,0
1,1,6,1.375,0
1,1,7,1.875,75
1,1,8,0,76
1,1,9,0,79
1,1,10,0,79
1,1,11,0,82
1,1,12,0.375,84
1,1,13,2.9375,85
1,1,14,6.9375,86
1,1,15,9.625000002,86
1,1,16,10.125,87
1,1,17,9.75,86
1,1,18,10,85
1,1,19,4.9375,84
1,1,20,4,83
1,1,21,4.0625,82
1,1,22,4.375,82
1,1,23,4.0625,80
1,2,0,5.8125,80
1,2,1,3.875,79
1,2,2,3.9375,79
1,2,3,4,77
1,2,4,3.4375,76
1,2,5,4,75
1,2,6,2,74
1,2,7,1.3125,74
1,2,8,1.125,77
1,2,9,2.5625,79
1,2,10,0.375,83
1,2,11,0,86
1,2,12,0.625,88
1,2,13,3.3125,89
1,2,14,8.562499998,88
1,2,15,13.3125,87
1,2,16,11.5625,89
1,2,17,8.500000002,87
1,2,18,7.3125,86
1,2,19,5.125,85
1,2,20,6.75,84
1,2,21,5.125,83
1,2,22,5.125,82
1,2,23,5.375,81
1,3,0,4.9375,81
1,3,1,4.5625,80
1,3,2,6.625000002,80
1,3,3,4.25,79
1,3,4,4.3125,78
1,3,5,4.0625,77
1,3,6,1.625,76
1,3,7,1.625,75
1,3,8,0,76
1,3,9,0,79
1,3,10,0,82
1,3,11,0,87
1,3,12,0,90
1,3,13,2.3125,91
1,3,14,5.5,90
1,3,15,9.124999998,91
1,3,16,9.874999998,91
1,3,17,9.250000002,90
1,3,18,9.75,87
1,3,19,5,86
1,3,20,4.75,85
1,3,21,4.875,84
1,3,22,5.125,83
1,3,23,4.8125,83
1,4,0,6.312499998,82
1,4,1,4.625,81
1,4,2,4.5,80
1,4,3,6.124999998,79
1,4,4,6.625000002,78
1,4,5,19.125,77
1,4,6,21.75,77
1,4,7,29.25,78
1,4,8,40.125,80
1,4,9,41.1875,82
1,4,10,40.625,86
1,4,11,47.3125,89
1,4,12,50.1875,91
1,4,13,48.9375,91
1,4,14,44.125,95
1,4,15,33.875,94
1,4,16,22.25,94
1,4,17,12.625,93
1,4,18,8.374999998,89
1,4,19,6.625000002,88
1,4,20,7.187500002,87
1,4,21,5.4375,86
1,4,22,5.4375,85
1,4,23,5.3125,84
1,5,0,5.3125,83
1,5,1,5.125,82
1,5,2,5.5625,81
1,5,3,4,81
1,5,4,4.6875,81
1,5,5,22.3125,80
1,5,6,38.3125,80
1,5,7,49.25,79
1,5,8,60.31249998,81
1,5,9,66.75,84
1,5,10,65.625,86
1,5,11,61.06249998,88
1,5,12,47.0625,88
1,5,13,32.8125,91
1,5,14,37.6875,92
1,5,15,31.625,93
1,5,16,27.75,94
1,5,17,10.5625,94
1,5,18,7.875,91
1,5,19,6.9375,88
1,5,20,6.5625,87
1,5,21,9.124999998,85
1,5,22,7.187500002,84
1,5,23,6.437500002,83
1,6,0,6.062500002,82
1,6,1,5.625,82
1,6,2,7.562500002,81
1,6,3,5.5625,80
1,6,4,5.625,80
1,6,5,14.3125,79
1,6,6,26.625,79
1,6,7,27.1875,78
1,6,8,33.9375,78
1,6,9,39.8125,83
1,6,10,39.125,85
1,6,11,49.125,89
1,6,12,50.3125,90
1,6,13,40.6875,92
1,6,14,40,91
1,6,15,35,91
1,6,16,20.625,90
1,6,17,10.25,90
1,6,18,9.124999998,89
1,6,19,7.937500002,87
1,6,20,6.812500002,86
1,6,21,5.25,84
1,6,22,5.5,83
1,6,23,5.6875,83
1,7,0,5.125,82
1,7,1,7.062499998,82
1,7,2,5.375,81
1,7,3,5.1875,80
1,7,4,6.250000002,80
1,7,5,24.4375,80
1,7,6,23.75,80
1,7,7,36.75,79
1,7,8,49.3125,79
1,7,9,39.8125,82
1,7,10,39.25,87
1,7,11,45.75,89
1,7,12,51.3125,90
1,7,13,43.4375,90
1,7,14,34.25,90
1,7,15,29.25,89
1,7,16,23.3125,92
1,7,17,13.6875,89
1,7,18,10.875,88
